time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,frequence
2019-08-30-15-58,41.89655172413793,8.0,1.8144137962111109,0.0,99.0,19.0,0.007434944237918215
2019-08-30-15-28,54.43103448275862,10.0,1.8660862116978083,0.0,110.0,22.0,0.0037174721189591076
2019-08-30-15-33,40.68965517241379,8.0,1.7773965535492733,0.0,115.0,23.0,0.0037174721189591076
2019-08-30-15-34,15.454545454545455,3.0,1.2694999982010235,0.0,106.0,21.0,0.0037174721189591076
2019-08-30-15-35,46.39655172413793,9.0,1.7432586160199397,0.0,109.0,21.0,0.007434944237918215
2019-08-30-15-54,48.08620689655172,9.0,1.794982758061639,0.0,108.0,21.0,0.007434944237918215
2019-08-30-15-37,47.029411764705884,9.0,1.4976764671942766,0.0,99.0,19.0,0.0037174721189591076
2019-08-30-15-39,0.9310344827586208,0.0,1.0620344856689716,0.0,102.0,20.0,0.007434944237918215
2019-08-30-15-41,0.0,0.0,1.0,0.0,102.0,20.0,0.007434944237918215
2019-08-30-15-40,0.0,0.0,1.0,0.0,84.0,16.0,0.01486988847583643
2019-08-30-16-59,0.0,0.0,1.0,0.0,82.0,16.0,0.01486988847583643
2019-08-30-17-00,0.0,0.0,1.0,0.0,80.0,16.0,0.01486988847583643
2019-08-30-17-01,0.0,0.0,1.0,0.0,84.0,16.0,0.01486988847583643
2019-08-30-15-42,0.0,0.0,1.0,0.0,87.0,17.0,0.007434944237918215
2019-08-30-15-43,0.0,0.0,1.0,0.0,89.0,17.0,0.007434944237918215
2019-08-30-15-45,79.98275862068967,15.0,1.789827585220337,0.0,101.0,20.0,0.0037174721189591076
2019-08-30-15-46,112.32758620689656,22.0,1.8317931006694663,0.0,111.0,22.0,0.0037174721189591076
2019-08-30-15-48,47.46551724137931,9.0,1.5971896525087028,0.0,119.0,23.0,0.0037174721189591076
2019-08-30-15-50,39.137931034482754,7.0,1.8044827498238665,0.0,113.0,22.0,0.0037174721189591076
2019-08-30-15-52,13.452380952380953,2.0,1.2212857121513003,0.0,103.0,20.0,0.0037174721189591076
2019-08-30-15-53,34.59574468085106,6.0,1.5608297840077827,0.0,108.0,21.0,0.0037174721189591076
2019-08-30-15-55,33.1896551724138,6.0,1.6968965489288856,0.0,110.0,22.0,0.0037174721189591076
2019-08-30-15-56,43.58620689655172,8.0,1.904827580369752,0.0,103.0,20.0,0.0037174721189591076
2019-08-30-15-59,52.53448275862069,10.0,1.9685172561941475,0.0,100.0,20.0,0.007434944237918215
2019-08-30-16-00,50.362068965517246,10.0,1.9767068871136368,0.0,101.0,20.0,0.007434944237918215
2019-08-30-16-01,64.36170212765957,12.0,1.9948936142819995,0.0,106.0,21.0,0.0037174721189591076
2019-08-30-17-08,14.51063829787234,2.0,1.2760638226854042,0.0,79.0,15.0,0.01486988847583643
2019-08-30-17-08,14.51063829787234,2.0,1.2760638226854042,0.0,79.0,15.0,0.01486988847583643
2019-08-30-17-08,14.51063829787234,2.0,1.2760638226854042,0.0,79.0,15.0,0.01486988847583643
2019-08-30-17-08,14.51063829787234,2.0,1.2760638226854042,0.0,79.0,15.0,0.01486988847583643
2019-08-30-17-09,14.879310344827585,2.0,1.293310352440538,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-09,14.879310344827585,2.0,1.293310352440538,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-09,14.879310344827585,2.0,1.293310352440538,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-09,14.879310344827585,2.0,1.293310352440538,0.0,85.0,17.0,0.01486988847583643
2019-08-30-17-12,8.982758620689655,1.0,1.1954655215657992,0.0,93.0,18.0,0.01486988847583643
2019-08-30-17-12,8.982758620689655,1.0,1.1954655215657992,0.0,93.0,18.0,0.01486988847583643
2019-08-30-17-12,8.982758620689655,1.0,1.1954655215657992,0.0,93.0,18.0,0.01486988847583643
2019-08-30-17-12,8.982758620689655,1.0,1.1954655215657992,0.0,93.0,18.0,0.01486988847583643
2019-08-30-17-13,75.74137931034483,15.0,2.0540689641031724,0.0,88.0,17.0,0.01486988847583643
2019-08-30-17-13,75.74137931034483,15.0,2.0540689641031724,0.0,88.0,17.0,0.01486988847583643
2019-08-30-17-13,75.74137931034483,15.0,2.0540689641031724,0.0,88.0,17.0,0.01486988847583643
2019-08-30-17-13,75.74137931034483,15.0,2.0540689641031724,0.0,88.0,17.0,0.01486988847583643
2019-08-30-17-15,50.32758620689656,10.0,1.8782931072958584,0.0,83.0,16.0,0.01486988847583643
2019-08-30-17-15,50.32758620689656,10.0,1.8782931072958584,0.0,83.0,16.0,0.01486988847583643
2019-08-30-17-15,50.32758620689656,10.0,1.8782931072958584,0.0,83.0,16.0,0.01486988847583643
2019-08-30-17-15,50.32758620689656,10.0,1.8782931072958584,0.0,83.0,16.0,0.01486988847583643
2019-08-30-17-16,54.862068965517246,10.0,2.1000172434182,0.0,90.0,18.0,0.04460966542750929
