time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput
2019-08-30-15-40,0.0,0,1.0,0
2019-08-30-15-41,0.0,0,1.0,0
2019-08-30-15-42,0.0,0,1.0,0
2019-08-30-15-43,0.0,0,1.0,0
2019-08-30-15-44,85.74137931034483,17,1.6346896557972348,0
2019-08-30-15-45,79.98275862068965,15,1.789827585220337,0
2019-08-30-15-46,112.32758620689656,22,1.8317931006694663,0
2019-08-30-15-48,47.46551724137931,9,1.5971896525087028,0
2019-08-30-15-49,79.94827586206897,15,1.794741373637627,0
2019-08-30-15-50,39.13793103448276,7,1.8044827498238662,0
2019-08-30-15-52,13.452380952380953,2,1.2212857121513003,0
2019-08-30-15-53,34.59574468085106,6,1.5608297840077827,0
2019-08-30-15-54,48.08620689655172,9,1.794982758061639,0
2019-08-30-15-55,33.189655172413794,6,1.6968965489288856,0
2019-08-30-15-56,43.58620689655172,8,1.904827580369752,0
2019-08-30-15-57,27.844827586206897,5,1.6795862008785378,0
2019-08-30-15-58,41.89655172413793,8,1.814413796211111,0
2019-08-30-15-59,52.53448275862069,10,1.9685172561941475,0
2019-08-30-16-00,50.36206896551724,10,1.9767068871136368,0
2019-08-30-16-01,64.36170212765957,12,1.9948936142819993,0
2019-08-30-16-53,0.0,0,1.0,0
2019-08-30-16-54,0.0,0,1.0,0
2019-08-30-16-58,0.0,0,1.0,0
2019-08-30-16-59,0.0,0,1.0,0
2019-08-30-17-00,0.0,0,1.0,0
2019-08-30-17-01,0.0,0,1.0,0
2019-08-30-17-02,0.0,0,1.0,0
2019-08-30-17-03,0.0,0,1.0,0
2019-08-30-17-04,0.0,0,1.0,0
2019-08-30-17-07,0.0,0,1.0,0
2019-08-30-17-08,14.51063829787234,2,1.276063822685404,0
2019-08-30-17-09,14.879310344827585,2,1.293310352440538,0
2019-08-30-17-10,68.91379310344827,13,1.9763275857629448,0
2019-08-30-17-11,25.170212765957448,5,1.2496382936518242,0
2019-08-30-17-12,8.982758620689655,1,1.195465521565799,0
2019-08-30-17-13,75.74137931034483,15,2.0540689641031724,0
2019-08-30-17-14,15.051724137931034,3,1.318189653857001,0
2019-08-30-17-15,50.327586206896555,10,1.8782931072958584,0
2019-08-30-17-16,54.86206896551724,10,2.1000172434182,0
2019-08-30-17-17,39.46551724137931,7,1.7966724243657342,0
2019-08-30-17-18,50.327586206896555,10,2.0320517318002107,0
2019-08-30-17-19,58.08620689655172,11,2.0959655190336295,0
2019-08-30-17-20,51.43103448275862,10,1.9792413834867806,0
2019-08-30-17-21,26.120689655172413,5,1.5727930993869388,0
2019-08-30-17-22,41.189655172413794,8,2.0752413827797462,0
2019-08-30-17-23,54.310344827586206,10,2.1428792867167243,0
2019-08-30-17-24,55.37931034482759,11,2.178275860589126,0
2019-08-30-17-25,50.08620689655172,10,2.182086200549685,0
2019-08-30-17-26,65.67241379310344,13,2.1972068918162377,0
2019-08-30-17-27,18.74137931034483,3,1.5252931118011475,0
2019-08-30-17-28,31.43103448275862,6,1.370603450413408,0
2019-08-30-17-29,80.92857142857143,16,1.7395714351109095,0
2019-08-30-17-30,105.11904761904762,21,1.7309761870475042,0
2019-08-30-17-31,45.58695652173913,9,1.6811304247897605,0
2019-08-30-17-32,5.155172413793103,1,1.2571551738114193,0
2019-08-30-17-33,68.9090909090909,13,1.7384545369581743,0
2019-08-30-17-34,46.06818181818182,9,1.5960227359424939,0
2019-08-30-17-35,59.6,11,1.6498400115966796,0
2019-08-30-17-36,59.774193548387096,11,1.8040967718247445,0
2019-08-30-17-38,0.0,0,1.0,0
2019-08-30-17-39,14.454545454545455,2,1.4282727241516113,0
2019-08-30-17-40,56.45454545454545,11,1.9512727368961682,0
2019-08-30-17-41,49.36,9,1.8092800045013429,0
2019-08-30-17-42,43.535714285714285,8,1.86246429170881,0
2019-08-30-17-43,44.375,8,1.8821250088512897,0
2019-08-30-17-44,0.0,0,1.0,0
2019-08-30-17-46,0.0,0,1.0,0
2019-08-30-17-51,0.0,0,1.037580643930743,0
2019-08-30-18-04,0.0,0,1.0,0
2019-08-30-18-05,5.172413793103448,1,1.0606896548435605,0
2019-08-30-18-06,23.6,4,1.1206571442740305,0
2019-08-30-18-07,0.0,0,1.0,0
2019-08-30-18-08,0.0,0,1.0,0
2019-08-30-18-09,0.0,0,1.0,0
2019-08-30-18-10,0.0,0,1.0,0
2019-08-30-17-06,0.0,0,1.0,0
2019-08-30-17-07,0.0,0,1.0,0
2019-08-30-17-08,14.51063829787234,2,1.276063822685404,0
2019-08-30-17-09,14.879310344827585,2,1.293310352440538,0
2019-08-30-17-10,68.91379310344827,13,1.9763275857629448,0
2019-08-30-17-11,25.170212765957448,5,1.2496382936518242,0
2019-08-30-17-12,8.982758620689655,1,1.195465521565799,0
2019-08-30-17-13,75.74137931034483,15,2.0540689641031724,0
2019-08-30-17-14,15.051724137931034,3,1.318189653857001,0
2019-08-30-17-15,50.327586206896555,10,1.8782931072958584,0
2019-08-30-17-16,54.86206896551724,10,2.1000172434182,0
